category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,https://db-engines.com/en/system/Oracle,N,Y,-,1241.69,1,-,-,Oracle,1980.0,2021.0,N,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS",MySQL,https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1205.54,2,mysql,mysql-server,Oracle,1995.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft SQL Server,https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,912.51,3,-,-,Microsoft,1989.0,2019.0,N,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL,https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,623.16,4,postgres,postgres,PostgreSQL Global Development Group,1989.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS",MongoDB,https://db-engines.com/en/system/MongoDB,Y,,mongodb/mongo,477.9,5,mongodb,mongo,"MongoDB, Inc",2009.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Redis,https://db-engines.com/en/system/Redis,Y,,redis/redis,182.05,6,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009.0,2022.0,Y,N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
Search engine,"Search engine,Document store,Spatial DBMS",Elasticsearch,https://db-engines.com/en/system/Elasticsearch,Y,,elastic/elasticsearch,150.32,7,elastic,elasticsearch,Elastic,2010.0,2020.0,Y,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM Db2,https://db-engines.com/en/system/IBM+Db2,N,Y,-,149.56,8,-,-,IBM,1983.0,2016.0,N,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Relational,Relational DBMS,Microsoft Access,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,135.03,9,-,-,Microsoft,1992.0,2019.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,SQLite,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,134.63,10,sqlite,sqlite,Dwayne Richard Hipp,2000.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wide column,Wide column store,Cassandra,https://db-engines.com/en/system/Cassandra,Y,,apache/cassandra,118.12,11,apache,cassandra,Apache Software Foundation,2008.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Snowflake,https://db-engines.com/en/system/Snowflake,N,Y,-,110.15,12,-,-,Snowflake Computing Inc.,2014.0,,N,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,104.91,13,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009.0,2022.0,Y,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,94.23,14,-,-,Splunk Inc.,2003.0,,N,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Document,"Document store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,85.4,15,-,-,Amazon,2012.0,,N,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,Y,-,83.66,16,-,-,Microsoft,2010.0,,N,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Relational,Relational DBMS,Hive,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,81.89,17,apache,hive,Apache Software Foundation,2012.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,,,,65.23,18,,,Teradata,1984.0,2019.0,N,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
Document,"Document store,Relational DBMS",Databricks,https://db-engines.com/en/system/Databricks,,,,60.89,19,,,Databricks,2013.0,,Y,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,,neo4j/neo4j,57.3,20,neo4j,neo4j,"Neo4j, Inc.",2007.0,2022.0,Y,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,,,,54.31,21,,,FileMaker,1983.0,2021.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,,,,54.13,22,,,Google,2010.0,,N,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,,,,51.45,23,,,SAP,2010.0,2022.0,N,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,,apache/solr,51.33,24,apache,solr,Apache Software Foundation,2006.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,,,,43.58,25,,,"SAP, Sybase",1987.0,,N,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,,apache/hbase,40.41,26,apache,hbase,Apache Software Foundation,2008.0,2021.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,39.75,27,-,-,Microsoft,2014.0,,N,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
