Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,DBMS,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1261.29,+13.77,+9.97,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1182.79,-12.66,-15.45,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",922.01,-7.08,-11.77,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",613.83,-2.67,-3.10,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Spatial DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",458.78,+6.02,-26.88,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",172.45,-1.39,-4.31,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
7.,7.,7.,IBM Db2,"Relational, Multi-model",142.92,-0.04,-19.22,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
8.,8.,8.,Elasticsearch,"Search engine, Multi-model",139.07,+0.47,-20.88,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS"
9.,9.,10.,SQLite,Relational,133.82,+1.15,+1.64,https://db-engines.com/en/system/SQLite,
10.,10.,9.,Microsoft Access,Relational,132.06,+1.03,-3.37,https://db-engines.com/en/system/Microsoft+Access,
11.,12.,14.,Snowflake,Relational,114.40,-1.26,+28.17,https://db-engines.com/en/system/Snowflake,
12.,11.,11.,Cassandra,Wide column,113.79,-2.43,-8.35,https://db-engines.com/en/system/Cassandra,
13.,13.,12.,MariaDB,"Relational, Multi-model",96.84,+0.03,-11.47,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,13.,Splunk,Search engine,87.97,+0.89,-7.39,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Amazon DynamoDB,Multi-model,80.77,+1.08,-1.03,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",77.44,-1.31,-7.23,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,17.,Hive,Relational,70.91,-1.21,-10.31,https://db-engines.com/en/system/Hive,
18.,18.,18.,Teradata,"Relational, Multi-model",63.74,+0.71,-5.11,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
19.,19.,,Databricks,Multi-model,60.86,+0.52,,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
20.,20.,19.,Neo4j,Graph,53.51,-1.92,-6.16,https://db-engines.com/en/system/Neo4j,
21.,22.,24.,Google BigQuery,Relational,53.44,+0.99,+6.78,https://db-engines.com/en/system/Google+BigQuery,
22.,21.,22.,FileMaker,Relational,51.15,-1.66,-1.81,https://db-engines.com/en/system/FileMaker,
23.,23.,21.,SAP HANA,"Relational, Multi-model",50.84,+1.17,-5.17,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,20.,Solr,"Search engine, Multi-model",47.28,+1.40,-11.77,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
