Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,DBMS,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1231.48,-1.16,-56.27,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1163.94,-8.52,-25.27,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",930.06,+9.97,-3.76,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",612.82,-5.08,-8.02,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",425.36,-11.25,-55.36,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",167.35,-0.78,-7.96,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
7.,7.,7.,IBM Db2,"Relational, Multi-model",144.89,+1.87,-14.30,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
8.,8.,8.,Elasticsearch,"Search engine, Multi-model",143.75,+2.11,-12.25,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
9.,10.,9.,Microsoft Access,Relational,134.45,+3.28,-7.36,https://db-engines.com/en/system/Microsoft+Access,
10.,9.,10.,SQLite,Relational,131.21,-2.65,-4.22,https://db-engines.com/en/system/SQLite,
11.,11.,13.,Snowflake,Relational,114.13,+2.41,+17.71,https://db-engines.com/en/system/Snowflake,
12.,12.,11.,Cassandra,Wide column,108.55,-2.58,-6.90,https://db-engines.com/en/system/Cassandra,
13.,13.,12.,MariaDB,"Relational, Multi-model",97.31,+0.44,-14.27,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,89.45,+2.81,-6.11,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Amazon DynamoDB,Multi-model,79.90,-1.20,-3.98,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",78.96,-0.23,-7.05,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,17.,Hive,Relational,75.52,+1.91,-6.06,https://db-engines.com/en/system/Hive,
18.,18.,24.,Databricks,Multi-model,65.82,+1.87,+17.69,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
19.,19.,18.,Teradata,"Relational, Multi-model",62.64,-0.07,-7.76,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
20.,20.,23.,Google BigQuery,Relational,54.64,-0.24,+5.57,https://db-engines.com/en/system/Google+BigQuery,
21.,21.,22.,FileMaker,Relational,54.38,+2.39,+2.80,https://db-engines.com/en/system/FileMaker,
22.,22.,19.,Neo4j,Graph,52.77,+1.66,-6.76,https://db-engines.com/en/system/Neo4j,
23.,23.,21.,SAP HANA,"Relational, Multi-model",51.42,+1.06,-3.11,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,20.,Solr,"Search engine, Multi-model",49.56,-0.20,-7.05,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",43.76,+0.67,-2.91,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,26.,HBase,Wide column,37.24,-1.35,-4.83,https://db-engines.com/en/system/HBase,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,36.57,+0.58,-4.41,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,29.,29.,InfluxDB,"Time Series, Multi-model",31.26,+1.35,+1.40,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,28.,28.,PostGIS,"Spatial DBMS, Multi-model",31.03,+0.13,-0.65,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,32.,Firebird,Relational,26.49,+1.94,+1.71,https://db-engines.com/en/system/Firebird,
31.,31.,30.,Couchbase,"Document, Multi-model",25.34,+0.92,-3.55,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS"
32.,32.,36.,Microsoft Azure Synapse Analytics,Relational,24.93,+1.65,+3.61,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
33.,34.,34.,Informix,"Relational, Multi-model",22.48,+0.46,-1.14,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
