Rank_Jul-2023,Rank_Jun-2023,Rank_Jul-2022,DBMS,Database Model,Score_Jul-2023,Score_Jun-2023,Score_Jul-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1256.01,+24.54,-24.28,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1150.35,-13.59,-44.53,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",921.60,-8.47,-20.53,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",617.83,+5.01,+1.96,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",435.49,+10.13,-37.49,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",163.76,-3.59,-9.86,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,7.,IBM Db2,"Relational, Multi-model",139.81,-5.07,-21.40,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
8.,8.,8.,Elasticsearch,"Search engine, Multi-model",139.59,-4.16,-14.74,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
9.,9.,9.,Microsoft Access,Relational,130.72,-3.73,-14.37,https://db-engines.com/en/system/Microsoft+Access,
10.,10.,10.,SQLite,Relational,130.20,-1.02,-6.48,https://db-engines.com/en/system/SQLite,
11.,11.,13.,Snowflake,Relational,117.69,+3.55,+18.53,https://db-engines.com/en/system/Snowflake,
12.,12.,11.,Cassandra,Wide column,106.53,-2.03,-7.88,https://db-engines.com/en/system/Cassandra,
13.,13.,12.,MariaDB,"Relational, Multi-model",96.10,-1.21,-16.42,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,87.12,-2.34,-11.09,https://db-engines.com/en/system/Splunk,
15.,16.,15.,Microsoft Azure SQL Database,"Relational, Multi-model",78.96,-0.01,-5.94,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,15.,16.,Amazon DynamoDB,Multi-model,78.81,-1.10,-5.13,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,17.,Hive,Relational,72.87,-2.65,-6.61,https://db-engines.com/en/system/Hive,
18.,18.,22.,Databricks,Multi-model,68.47,+2.65,+17.25,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
19.,19.,18.,Teradata,"Relational, Multi-model",60.25,-2.39,-10.67,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
20.,20.,24.,Google BigQuery,Relational,55.42,+0.78,+6.53,https://db-engines.com/en/system/Google+BigQuery,
21.,21.,23.,FileMaker,Relational,53.32,-1.06,+2.12,https://db-engines.com/en/system/FileMaker,
22.,22.,19.,Neo4j,Graph,52.06,-0.71,-6.36,https://db-engines.com/en/system/Neo4j,
23.,23.,21.,SAP HANA,"Relational, Multi-model",50.72,-0.69,-3.77,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,20.,Solr,"Search engine, Multi-model",48.55,-1.01,-7.14,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",42.87,-0.88,-2.58,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,36.49,-0.08,-3.59,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,26.,26.,HBase,Wide column,36.11,-1.14,-4.90,https://db-engines.com/en/system/HBase,
28.,28.,29.,InfluxDB,"Time Series, Multi-model",30.92,-0.34,+1.70,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,28.,PostGIS,"Spatial DBMS, Multi-model",30.01,-1.02,-0.87,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,32.,36.,Microsoft Azure Synapse Analytics,Relational,27.62,+2.69,+6.00,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
31.,30.,31.,Firebird,Relational,26.16,-0.33,+0.59,https://db-engines.com/en/system/Firebird,
32.,31.,30.,Couchbase,"Document, Multi-model",25.14,-0.20,-2.77,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS"
33.,34.,33.,Memcached,Key-value,22.07,-0.35,-2.05,https://db-engines.com/en/system/Memcached,
34.,33.,34.,Informix,"Relational, Multi-model",21.93,-0.55,-1.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,36.,32.,Amazon Redshift,Relational,20.36,+0.56,-4.97,https://db-engines.com/en/system/Amazon+Redshift,
36.,37.,40.,Impala,"Relational, Multi-model",19.66,+0.27,+2.17,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
37.,35.,35.,Spark SQL,Relational,19.63,-0.44,-3.41,https://db-engines.com/en/system/Spark+SQL,
38.,38.,39.,Firebase Realtime Database,Document,18.73,+0.15,+0.39,https://db-engines.com/en/system/Firebase+Realtime+Database,
39.,39.,38.,Netezza,Relational,15.62,-0.26,-3.31,https://db-engines.com/en/system/Netezza,
40.,44.,46.,ClickHouse,"Relational, Multi-model",15.30,+0.33,+2.59,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
41.,42.,37.,Vertica,"Relational, Multi-model",15.16,-0.26,-4.07,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
42.,41.,44.,Presto,Relational,14.88,-0.89,+1.82,https://db-engines.com/en/system/Presto,
43.,40.,42.,dBASE,Relational,14.69,-1.14,-0.02,https://db-engines.com/en/system/dBASE,
44.,43.,41.,CouchDB,"Document, Multi-model",14.40,-1.02,-2.30,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
45.,45.,,Apache Flink,Relational,13.79,-0.03,,https://db-engines.com/en/system/Apache+Flink,
46.,46.,57.,OpenSearch,"Search engine, Multi-model",12.88,+0.70,+4.99,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
47.,47.,53.,Google Cloud Firestore,Document,10.36,-0.52,+1.27,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,48.,43.,Greenplum,"Relational, Multi-model",10.33,-0.31,-2.74,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,49.,54.,Oracle Essbase,Relational,9.55,-0.43,+0.94,https://db-engines.com/en/system/Oracle+Essbase,
50.,50.,45.,Amazon Aurora,"Relational, Multi-model",9.39,-0.40,-3.47,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
51.,51.,47.,etcd,Key-value,9.01,-0.26,-1.43,https://db-engines.com/en/system/etcd,
52.,52.,51.,H2,"Relational, Multi-model",8.87,-0.14,-0.91,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
53.,53.,50.,MarkLogic,Multi-model,8.59,-0.05,-1.19,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
54.,54.,49.,Realm,Document,8.24,-0.08,-1.67,https://db-engines.com/en/system/Realm,
55.,56.,52.,Kdb,Multi-model,8.22,+0.22,-0.95,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
56.,55.,63.,Prometheus,Time Series,8.05,+0.04,+1.37,https://db-engines.com/en/system/Prometheus,
57.,58.,55.,Algolia,Search engine,7.93,+0.05,-0.48,https://db-engines.com/en/system/Algolia,
58.,57.,48.,Hazelcast,"Key-value, Multi-model",7.79,-0.13,-2.36,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
59.,59.,56.,Datastax Enterprise,"Wide column, Multi-model",7.20,-0.54,-1.16,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine"
60.,65.,59.,CockroachDB,Relational,7.04,+0.43,-0.37,https://db-engines.com/en/system/CockroachDB,
61.,68.,61.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.92,+0.42,-0.16,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
62.,60.,78.,Derby,Relational,6.81,-0.06,+1.91,https://db-engines.com/en/system/Derby,
63.,69.,94.,Trino,"Relational, Multi-model",6.63,+0.20,+3.19,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
64.,61.,65.,Ehcache,Key-value,6.59,-0.23,+0.07,https://db-engines.com/en/system/Ehcache,
65.,62.,73.,Jackrabbit,Content,6.53,-0.25,+0.95,https://db-engines.com/en/system/Jackrabbit,
