Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,DBMS,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1257.41,-19.62,+7.10,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",1126.64,+11.40,-72.76,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",903.83,-7.59,-20.52,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",650.90,+14.05,+32.93,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",419.15,-9.40,-50.18,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Redis,"Key-value, Multi-model",158.35,-1.66,-24.22,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
7.,7.,8.,Elasticsearch,"Search engine, Multi-model",137.75,-1.87,-7.18,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS"
8.,8.,7.,IBM Db2,"Relational, Multi-model",134.60,-1.40,-12.02,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,10.,9.,Microsoft Access,Relational,121.75,-2.74,-12.08,https://db-engines.com/en/system/Microsoft+Access,
10.,11.,11.,Snowflake,Relational,119.88,-1.12,+5.11,https://db-engines.com/en/system/Snowflake,
11.,9.,10.,SQLite,Relational,117.95,-6.63,-14.49,https://db-engines.com/en/system/SQLite,
12.,12.,12.,Cassandra,"Wide column, Multi-model",112.20,+3.03,-2.46,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS"
13.,13.,13.,MariaDB,"Relational, Multi-model",100.43,-1.66,-0.50,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,14.,Splunk,Search engine,96.29,-1.03,+5.50,https://db-engines.com/en/system/Splunk,
15.,15.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",83.04,-0.13,+1.06,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
16.,16.,15.,Amazon DynamoDB,Multi-model,82.41,+0.17,-1.44,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
17.,17.,19.,Databricks,Multi-model,80.31,+3.09,+19.57,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
18.,18.,17.,Hive,Relational,69.41,+0.77,-8.49,https://db-engines.com/en/system/Hive,
19.,19.,21.,Google BigQuery,Relational,62.17,+2.85,+6.48,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,18.,Teradata,"Relational, Multi-model",55.69,-1.63,-10.19,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
