Rank_Aug-2025,Rank_Jul-2025,Rank_Aug-2024,DBMS,Database Model,Score_Aug-2025,Score_Jul-2025,Score_Aug-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1220.70,+3.64,-37.78,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",915.46,-25.26,-111.40,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",754.15,-16.99,-61.02,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",671.25,-9.63,+33.87,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",395.58,-8.25,-25.40,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,7.,Snowflake,Relational,178.90,+2.73,+42.93,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",147.19,-2.53,-5.52,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,9.,IBM Db2,"Relational, Multi-model",127.31,-0.20,+4.30,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
9.,12.,15.,Databricks,Multi-model,115.82,+7.78,+31.36,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
10.,9.,8.,Elasticsearch,Multi-model,114.27,-4.56,-15.56,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,10.,10.,SQLite,Relational,112.59,-2.84,+7.80,https://db-engines.com/en/system/SQLite,
12.,11.,11.,Apache Cassandra,"Wide column, Multi-model",108.51,-0.24,+11.51,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
13.,13.,14.,MariaDB,"Relational, Multi-model",93.59,-1.85,+7.06,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,12.,Microsoft Access,Relational,87.76,-2.71,-8.61,https://db-engines.com/en/system/Microsoft+Access,
15.,15.,17.,Amazon DynamoDB,Multi-model,83.48,-0.67,+14.57,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",75.84,-0.67,+0.81,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,19.,Apache Hive,Relational,71.03,-4.71,+15.79,https://db-engines.com/en/system/Apache+Hive,
18.,18.,13.,Splunk,Search engine,69.77,+0.25,-26.33,https://db-engines.com/en/system/Splunk,
19.,19.,18.,Google BigQuery,Relational,65.18,+0.99,+9.65,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,21.,Neo4j,Graph,54.47,-0.16,+10.58,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",34.80,+0.63,-1.49,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,23.,23.,Teradata,"Relational, Multi-model",33.75,+0.45,-8.51,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,22.,20.,FileMaker,Relational,33.32,-0.37,-13.35,https://db-engines.com/en/system/FileMaker,
24.,24.,22.,SAP HANA,"Relational, Multi-model",32.30,-0.22,-10.06,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",28.14,+0.50,-5.14,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,33.,Apache Spark (SQL),Relational,24.63,+0.84,+7.90,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
27.,29.,27.,Microsoft Azure Cosmos DB,Multi-model,22.84,+1.16,-3.38,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",22.60,-0.05,-0.03,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,27.,26.,Apache HBase,Wide column,22.08,-0.65,-5.43,https://db-engines.com/en/system/Apache+HBase,
30.,31.,29.,PostGIS,"Spatial, Multi-model",19.58,+1.19,-0.48,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
31.,30.,38.,ClickHouse,"Relational, Multi-model",18.85,+0.31,+3.71,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
32.,32.,35.,OpenSearch,Multi-model,18.48,+1.18,+2.01,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,30.,Firebird,Relational,17.40,+0.39,-2.56,https://db-engines.com/en/system/Firebird,
34.,34.,32.,Memcached,Key-value,16.16,-0.21,-0.83,https://db-engines.com/en/system/Memcached,
35.,35.,34.,Informix,"Relational, Multi-model",14.77,+0.09,-1.95,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,36.,37.,Amazon Redshift,Relational,14.41,-0.24,-0.76,https://db-engines.com/en/system/Amazon+Redshift,
