Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,DBMS,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1212.77,+42.15,-96.67,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",879.66,-12.11,-143.09,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",715.05,-2.27,-87.04,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",643.20,-13.97,-8.96,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,Multi-model,368.01,-12.49,-37.20,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Multivalue DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,7.,Snowflake,Relational,198.65,+8.46,+58.05,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",142.33,-2.84,-7.30,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,9.,14.,Databricks,Multi-model,128.80,+4.74,+43.21,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
9.,8.,9.,IBM Db2,"Relational, Multi-model",122.37,-1.81,-0.40,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,8.,Elasticsearch,Multi-model,116.67,-1.59,-15.18,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,12.,11.,Apache Cassandra,"Wide column, Multi-model",105.16,-1.82,+7.56,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,11.,10.,SQLite,Relational,104.56,-3.32,+2.64,https://db-engines.com/en/system/SQLite,
13.,13.,15.,MariaDB,"Relational, Multi-model",87.77,-3.69,+2.88,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,12.,Microsoft Access,Relational,80.79,-2.82,-11.36,https://db-engines.com/en/system/Microsoft+Access,
15.,15.,17.,Amazon DynamoDB,Multi-model,75.91,-4.37,+4.06,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",75.49,-3.70,+0.95,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,18.,Apache Hive,Relational,75.22,-0.88,+22.65,https://db-engines.com/en/system/Apache+Hive,
18.,18.,13.,Splunk,Search engine,73.87,-1.89,-17.40,https://db-engines.com/en/system/Splunk,
19.,19.,19.,Google BigQuery,Relational,63.20,-2.80,+12.02,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,21.,Neo4j,Graph,52.51,-1.27,+10.01,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",35.31,-1.45,+2.33,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,23.,23.,Teradata,"Relational, Multi-model",33.12,-1.29,-7.57,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,22.,20.,FileMaker,Relational,32.83,-1.61,-11.56,https://db-engines.com/en/system/FileMaker,
24.,24.,22.,SAP HANA,"Relational, Multi-model",31.65,-1.42,-9.57,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",27.15,-0.59,-5.25,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,35.,Apache Spark (SQL),Relational,23.77,-1.59,+7.05,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,22.71,-1.23,-1.78,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.91,-1.84,-0.49,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,29.,PostGIS,"Spatial, Multi-model",21.04,-0.64,+0.48,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,31.,37.,ClickHouse,"Relational, Multi-model",20.18,+0.03,+3.93,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
31.,30.,26.,Apache HBase,Wide column,20.17,-1.22,-7.03,https://db-engines.com/en/system/Apache+HBase,
32.,32.,33.,OpenSearch,Multi-model,19.30,-0.63,+1.99,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,30.,Firebird,Relational,17.42,+0.88,-1.60,https://db-engines.com/en/system/Firebird,
34.,34.,32.,Memcached,Key-value,15.48,-0.69,-2.32,https://db-engines.com/en/system/Memcached,
35.,36.,39.,Firebase Realtime Database,Document,15.27,-0.13,+1.68,https://db-engines.com/en/system/Firebase+Realtime+Database,
36.,35.,36.,Informix,"Relational, Multi-model",14.91,-0.60,-1.37,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
37.,37.,38.,Amazon Redshift,Relational,14.60,-0.55,-0.50,https://db-engines.com/en/system/Amazon+Redshift,
38.,39.,31.,Microsoft Azure Synapse Analytics,Relational,13.80,-0.12,-4.92,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
39.,38.,41.,Apache Impala,"Relational, Multi-model",13.29,-0.78,+3.20,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
40.,41.,34.,Couchbase,Multi-model,11.96,-0.62,-5.14,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
41.,40.,40.,Apache Flink,Relational,11.65,-1.39,+0.72,https://db-engines.com/en/system/Apache+Flink,
42.,43.,54.,Google Cloud Firestore,Document,9.43,+0.25,+2.97,https://db-engines.com/en/system/Google+Cloud+Firestore,
43.,42.,42.,Vertica,"Relational, Multi-model",9.34,-0.14,-0.68,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
44.,44.,57.,DuckDB,Relational,8.94,+0.24,+2.96,https://db-engines.com/en/system/DuckDB,
45.,45.,44.,Amazon Aurora,"Relational, Multi-model",8.05,-0.30,-0.14,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,50.,49.,H2,"Relational, Multi-model",7.52,+0.26,+0.21,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
47.,46.,45.,Kdb,Multi-model,7.51,-0.68,-0.22,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
48.,47.,50.,Prometheus,Time Series,7.48,-0.45,+0.17,https://db-engines.com/en/system/Prometheus,
49.,52.,43.,dBASE,Relational,7.35,+0.38,-1.65,https://db-engines.com/en/system/dBASE,
50.,49.,51.,etcd,Key-value,7.35,-0.10,+0.17,https://db-engines.com/en/system/etcd,
51.,48.,47.,Greenplum,"Relational, Multi-model",7.13,-0.34,-0.26,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
52.,54.,53.,Realm,Document,6.88,+0.06,-0.17,https://db-engines.com/en/system/Realm,
53.,53.,55.,Algolia,Search engine,6.80,-0.09,+0.65,https://db-engines.com/en/system/Algolia,
54.,60.,87.,Pinecone,Vector,6.68,+0.70,+3.62,https://db-engines.com/en/system/Pinecone,
55.,56.,46.,CouchDB,"Document, Multi-model",6.53,-0.02,-1.00,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
56.,55.,62.,Trino,"Relational, Multi-model",6.35,-0.24,+0.87,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
57.,51.,48.,Netezza,Relational,6.28,-0.81,-1.07,https://db-engines.com/en/system/Netezza,
58.,57.,52.,Presto,Relational,6.22,-0.27,-0.84,https://db-engines.com/en/system/Presto,
59.,59.,59.,Microsoft Azure AI Search,"Search engine, Multi-model",6.00,-0.06,+0.29,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
60.,58.,58.,Sphinx,Search engine,5.94,-0.25,+0.03,https://db-engines.com/en/system/Sphinx,
61.,62.,61.,Hazelcast,"Key-value, Multi-model",5.29,+0.03,-0.27,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
62.,61.,56.,Oracle Essbase,Relational,4.92,-0.36,-1.09,https://db-engines.com/en/system/Oracle+Essbase,
63.,63.,63.,Graphite,Time Series,4.91,-0.27,-0.10,https://db-engines.com/en/system/Graphite,
64.,68.,74.,TimescaleDB,"Time Series, Multi-model",4.59,+0.30,+0.79,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
65.,65.,64.,CockroachDB,Relational,4.58,-0.46,-0.27,https://db-engines.com/en/system/CockroachDB,
66.,66.,90.,Milvus,Vector,4.53,+0.02,+1.51,https://db-engines.com/en/system/Milvus,
67.,64.,60.,Aerospike,Multi-model,4.53,-0.58,-1.05,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
68.,67.,68.,MarkLogic,Multi-model,4.14,-0.17,-0.24,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
69.,69.,75.,ScyllaDB,"Wide column, Multi-model",3.85,-0.14,+0.11,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,72.,78.,OpenEdge,Relational,3.78,-0.03,+0.15,https://db-engines.com/en/system/OpenEdge,
71.,82.,136.,Qdrant,Vector,3.74,+0.30,+2.05,https://db-engines.com/en/system/Qdrant,
72.,70.,80.,Ingres,Relational,3.73,-0.18,+0.21,https://db-engines.com/en/system/Ingres,
73.,74.,67.,Apache Jackrabbit,Content,3.65,-0.08,-1.03,https://db-engines.com/en/system/Apache+Jackrabbit,
74.,73.,97.,Apache Druid,Multi-model,3.63,-0.14,+0.84,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
75.,79.,95.,QuestDB,"Time Series, Multi-model",3.59,+0.08,+0.76,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
76.,76.,76.,Interbase,Relational,3.58,-0.11,-0.14,https://db-engines.com/en/system/Interbase,
77.,75.,71.,Google Cloud Datastore,Document,3.55,-0.16,-0.49,https://db-engines.com/en/system/Google+Cloud+Datastore,
78.,77.,66.,Datastax Enterprise,"Wide column, Multi-model",3.41,-0.26,-1.33,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
79.,78.,83.,Oracle NoSQL,Multi-model,3.35,-0.27,+0.08,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
80.,85.,73.,Riak KV,Key-value,3.32,0.00,-0.51,https://db-engines.com/en/system/Riak+KV,
81.,93.,138.,Weaviate,Vector,3.31,+0.41,+1.66,https://db-engines.com/en/system/Weaviate,
82.,87.,79.,SAP SQL Anywhere,Relational,3.27,+0.02,-0.36,https://db-engines.com/en/system/SAP+SQL+Anywhere,
83.,83.,77.,TiDB,"Relational, Multi-model",3.19,-0.23,-0.47,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
84.,86.,69.,Apache Derby,Relational,3.16,-0.12,-0.96,https://db-engines.com/en/system/Apache+Derby,
85.,81.,85.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.13,-0.32,+0.01,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
86.,71.,70.,SingleStore,"Relational, Multi-model",3.05,-0.86,-1.05,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
87.,88.,92.,Apache Ignite,Multi-model,2.99,-0.11,+0.05,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
88.,80.,65.,Ehcache,Key-value,2.99,-0.49,-1.77,https://db-engines.com/en/system/Ehcache,
89.,91.,81.,ArangoDB,Multi-model,2.91,-0.02,-0.52,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,90.,119.,OceanBase,Multi-model,2.89,-0.15,+0.86,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
91.,84.,88.,RocksDB,Key-value,2.84,-0.49,-0.20,https://db-engines.com/en/system/RocksDB,
92.,89.,101.,Google Cloud Spanner,Relational,2.80,-0.29,+0.11,https://db-engines.com/en/system/Google+Cloud+Spanner,
93.,98.,103.,Adabas,Multivalue,2.80,+0.11,+0.18,https://db-engines.com/en/system/Adabas,
94.,94.,84.,Microsoft Azure Table Storage,Wide column,2.80,-0.05,-0.46,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
95.,92.,104.,GemFire,"Key-value, Multi-model",2.79,-0.14,+0.18,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
96.,95.,86.,HyperSQL,Relational,2.76,-0.07,-0.34,https://db-engines.com/en/system/HyperSQL,
97.,103.,72.,Virtuoso,Multi-model,2.74,+0.21,-1.18,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
98.,96.,99.,IBM Cloudant,Document,2.66,-0.12,-0.10,https://db-engines.com/en/system/IBM+Cloudant,
