Rank_Feb-2026,Rank_Jan-2026,Rank_Feb-2025,DBMS,Database Model,Score_Feb-2026,Score_Jan-2026,Score_Feb-2025,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1203.51,-33.82,-51.31,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",868.22,+0.70,-131.77,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",708.14,+1.88,-78.73,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",672.03,+5.77,+12.42,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",378.73,+1.99,-17.90,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,7.,Snowflake,Relational,208.14,+0.34,+52.56,https://db-engines.com/en/system/Snowflake,
7.,7.,6.,Redis,"Key-value, Multi-model",147.04,+2.88,-10.87,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
8.,8.,13.,Databricks,Multi-model,144.51,+2.97,+54.48,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
9.,9.,9.,IBM Db2,"Relational, Multi-model",111.22,-1.50,-14.21,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,10.,8.,Elasticsearch,Multi-model,106.46,-0.69,-28.17,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
11.,11.,11.,Apache Cassandra,"Wide column, Multi-model",101.60,+0.76,-0.98,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
12.,12.,10.,SQLite,Relational,99.19,-1.42,-14.63,https://db-engines.com/en/system/SQLite,
13.,13.,14.,MariaDB,"Relational, Multi-model",86.09,-1.64,-3.42,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,15.,17.,Microsoft Azure SQL Database,"Relational, Multi-model",73.66,-0.53,+0.90,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,14.,15.,Splunk,Search engine,73.05,-2.25,-7.51,https://db-engines.com/en/system/Splunk,
16.,16.,18.,Apache Hive,Relational,73.00,-0.48,+10.51,https://db-engines.com/en/system/Apache+Hive,
