Rank_Apr-2026,Rank_Mar-2026,Rank_Apr-2025,DBMS,Database Model,Score_Apr-2026,Score_Mar-2026,Score_Apr-2025,DBMS_insitelink,Multi_model_info
1.,1.,1.,Oracle,"Relational, Multi-model",1157.93,-24.53,-73.12,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS"
2.,2.,2.,MySQL,"Relational, Multi-model",857.69,-0.65,-129.41,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS"
3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model",702.08,-9.40,-82.93,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
4.,4.,4.,PostgreSQL,"Relational, Multi-model",681.35,+1.27,+14.10,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS"
5.,5.,5.,MongoDB,"Document, Multi-model",385.02,+1.44,-15.03,https://db-engines.com/en/system/MongoDB,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
6.,6.,6.,Snowflake,Relational,217.38,+6.13,+49.28,https://db-engines.com/en/system/Snowflake,
7.,7.,12.,Databricks,Multi-model,150.47,+4.67,+51.19,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS"
8.,8.,7.,Redis,"Key-value, Multi-model",146.53,+1.35,-7.58,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS"
9.,9.,9.,IBM Db2,"Relational, Multi-model",113.25,+1.87,-12.79,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS"
10.,11.,11.,Apache Cassandra,"Wide column, Multi-model",102.62,+0.74,-5.59,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS"
11.,10.,8.,Elasticsearch,Multi-model,99.51,-4.07,-28.57,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS"
12.,12.,10.,SQLite,Relational,95.90,-0.08,-18.19,https://db-engines.com/en/system/SQLite,
13.,13.,14.,MariaDB,"Relational, Multi-model",86.41,-0.59,-7.93,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
14.,14.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",75.96,+2.03,+0.59,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,15.,18.,Apache Hive,Relational,74.13,+1.18,+1.48,https://db-engines.com/en/system/Apache+Hive,
16.,16.,17.,Splunk,Search engine,73.08,+0.87,-0.31,https://db-engines.com/en/system/Splunk,
17.,17.,13.,Microsoft Access,Relational,64.92,-2.65,-30.45,https://db-engines.com/en/system/Microsoft+Access,
18.,18.,15.,Amazon DynamoDB,Multi-model,62.67,-2.75,-13.82,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
19.,19.,19.,Google BigQuery,Relational,52.36,-3.46,-8.37,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,20.,Neo4j,Graph,46.88,-0.44,-0.71,https://db-engines.com/en/system/Neo4j,
21.,22.,23.,SAP HANA,"Relational, Multi-model",33.23,+1.14,-0.17,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
22.,21.,24.,Apache Solr,"Search engine, Multi-model",33.17,+0.38,+0.77,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
23.,23.,22.,Teradata,"Relational, Multi-model",31.11,+0.03,-2.97,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
