DBMS,Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1261.29,+13.77,+9.97,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,"Widely used,RDBMS",1980.0,"21c, January 2021",commercial,,no,1980,2021,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1182.79,-12.66,-15.45,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.0.32, January 2023",Open Source,,no,1995,2023,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",922.01,-7.08,-11.77,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",613.83,-2.67,-3.10,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"15.2, February 2023",Open Source,,no,1989,2023,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",458.78,+6.02,-26.88,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.1, August 2022",Open Source,,no,2009,2022,Y,N
Redis,6.0,6.0,6.0,"Key-value, Multi-model",172.45,-1.39,-4.31,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.0.10, March 2023",Open Source,,no,2009,2023,Y,N
IBM Db2,7.0,7.0,7.0,"Relational, Multi-model",142.92,-0.04,-19.22,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,,no,1983,2016,N,N
Elasticsearch,8.0,8.0,8.0,"Search engine, Multi-model",139.07,+0.47,-20.88,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,,no,2010,2023,Y,N
SQLite,9.0,9.0,10.0,Relational,133.82,+1.15,+1.64,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.41.1? (10 March 2023), March 2023",Open Source,,no,2000,2023,Y,N
Microsoft Access,10.0,10.0,9.0,Relational,132.06,+1.03,-3.37,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,,no,1992,2019,N,N
Snowflake,11.0,12.0,14.0,Relational,114.4,-1.26,+28.17,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
Cassandra,12.0,11.0,11.0,Wide column,113.79,-2.43,-8.35,https://db-engines.com/en/system/Cassandra,,Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.0, December 2022",Open Source,,no,2008,2022,Y,N
MariaDB,13.0,13.0,12.0,"Relational, Multi-model",96.84,+0.03,-11.47,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"10.10.3, February 2023",Open Source,,no,2009,2023,Y,N
Splunk,14.0,14.0,13.0,Search engine,87.97,+0.89,-7.39,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,,no,2003,,N,N
Amazon DynamoDB,15.0,15.0,16.0,Multi-model,80.77,+1.08,-1.03,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,,yes,2012,,N,Y
Microsoft Azure SQL Database,16.0,16.0,15.0,"Relational, Multi-model",77.44,-1.31,-7.23,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Hive,17.0,17.0,17.0,Relational,70.91,-1.21,-10.31,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,,no,2012,2022,Y,N
Teradata,18.0,18.0,18.0,"Relational, Multi-model",63.74,+0.71,-5.11,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
Databricks,19.0,19.0,,Multi-model,60.86,+0.52,,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,Open Source,,yes,2013,,Y,Y
Neo4j,20.0,20.0,19.0,Graph,53.51,-1.92,-6.16,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.6, March 2023",Open Source,,no,2007,2023,Y,N
Google BigQuery,21.0,22.0,24.0,Relational,53.44,+0.99,+6.78,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
FileMaker,22.0,21.0,22.0,Relational,51.15,-1.66,-1.81,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
SAP HANA,23.0,23.0,21.0,"Relational, Multi-model",50.84,+1.17,-5.17,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS06 (March?4, 2022), March 2022",commercial,,no,2010,2022,N,N
Solr,24.0,24.0,20.0,"Search engine, Multi-model",47.28,+1.40,-11.77,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.1.1, January 2023",Open Source,Apache Version 2,no,2006,2023,Y,N
SAP Adaptive Server,25.0,25.0,23.0,"Relational, Multi-model",42.95,-0.11,-6.12,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
