DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1170.62,-50.08,-115.97,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",Oracle,"Widely used,RDBMS",1980.0,"23c, September 2023",commercial,restricted free version is available,no
MySQL,2.0,2.0,2.0,"Relational, Multi-model",891.77,-23.69,-137.72,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"9.0.0, July 2024",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",717.32,-36.84,-90.45,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",657.17,-14.08,+12.81,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.4, August 2024",Open Source,BSD,no
MongoDB,5.0,5.0,5.0,"Document, Multi-model",380.5,-15.08,-29.74,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"7.0.5, January 2024",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no
Snowflake,6.0,6.0,7.0,Relational,190.19,+11.29,+56.47,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes
Redis,7.0,7.0,6.0,"Key-value, Multi-model",145.17,-2.02,-4.25,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.5, May 2024",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no
IBM Db2,8.0,8.0,9.0,"Relational, Multi-model",124.19,-3.12,+1.14,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no
Databricks,9.0,9.0,14.0,Multi-model,124.06,+8.25,+39.82,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,commercial,,yes
Elasticsearch,10.0,10.0,8.0,Multi-model,118.26,+3.99,-10.53,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no
