id,category,system,is_open_source,has_company,github_repo_link,score,overall_rank,Relational DBMS,Key-value,Document,Time Series,Graph,Object oriented,Search engine,RDF,Wide column,Multivalue,Native XML,Spatial DBMS,Event,Content,Navigational,org_name,repo_name
1,"Relational DBMS, Multi-model",Oracle,N,Y,-,1271.55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
2,"Relational DBMS, Multi-model",MySQL,Y,Y,mysql/mysql-server,1212.52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mysql,mysql-server
3,"Relational DBMS, Multi-model",Microsoft SQL Server,N,Y,-,970.85,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
4,"Relational DBMS, Multi-model",PostgreSQL,Y,N,postgres/postgres,577.50,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,postgres,postgres
5,"Relational DBMS, Multi-model",IBM Db2,N,Y,-,166.56,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
6,Relational DBMS,SQLite,Y,N,sqlite/sqlite,128.65,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sqlite,sqlite
7,Relational DBMS,Microsoft Access,N,Y,-,116.94,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
8,"Relational DBMS, Multi-model",MariaDB ,Y,Y_借壳上市,MariaDB/server,100.70,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MariaDB,server
9,Relational DBMS,Hive ,Y,N_Facebook开源,apache/hive,85.58,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,hive
10,"Relational DBMS, Multi-model",Microsoft Azure SQL Database,N,Y,-,78.26,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
11,Relational DBMS,Snowflake,N,Y,-,52.07,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
12,Relational DBMS,Firebird,Y,N,FirebirdSQL/firebird,24.83,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirebirdSQL,firebird
13,"Relational DBMS, Multi-model",Informix,N,Y,-,22.95,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
14,"Relational DBMS, Multi-model",Vertica,N,Y,-,20.45,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
15,"Relational DBMS, Multi-model",Greenplum,Y,Y,greenplum-db/gpdb,13.61,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greenplum-db,gpdb
16,Relational DBMS,Presto,Y,N_Facebook开源,prestodb/presto,13.35,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prestodb,presto
17,"Relational DBMS, Multi-model",ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,10.63,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ClickHouse,ClickHouse
18,"Relational DBMS, Multi-model",H2,Y,N,h2database/h2database,9.69,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h2database,h2database
19,Relational DBMS,CockroachDB,Y,Y,cockroachdb/cockroach,6.73,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cockroachdb,cockroach
20,Relational DBMS,HyperSQL,Y,N,ryenus/hsqldb,4.92,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ryenus,hsqldb
21,Relational DBMS,Derby,Y,N,apache/derby,4.69,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,derby
22,"Relational DBMS,Key-value,Document, Multi-model",Oracle NoSQL,Y,N,oracle/nosql-go-sdk,4.23,83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,oracle,nosql-go-sdk
23,Relational DBMS,Apache Phoenix,Y,N,apache/phoenix,3.06,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,phoenix
24,"Relational DBMS,Document,Multi-model",Apache Drill,Y,N,apache/drill,2.79,104,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,apache,drill
25,"Relational DBMS,Multi-model",TiDB,Y,Y,pingcap/tidb,2.66,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pingcap,tidb
26,Relational DBMS,Percona Server for MySQL,Y,N_forMySQL,percona/percona-server,2.43,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,percona,percona-server
27,"Relational DBMS,Multi-model",MonetDB,Y,,MonetDB/MonetDB,1.96,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MonetDB,MonetDB
28,Relational DBMS,Trino,Y,,trinodb/trino,1.95,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trinodb,trino
29,Relational DBMS,VoltDB,Y,,VoltDB/voltdb,1.72,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VoltDB,voltdb
30,"Relational DBMS,Multi-model",Citus,Y,,citusdata/citus,1.48,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,citusdata,citus
31,"Relational DBMS,Multi-model",OmniSci,Y,,omnisci/omniscidb,1.38,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,omnisci,omniscidb
32,"Relational DBMS,Key-value,Document,Multi-model",FoundationDB,Y,,apple/foundationdb,1.32,150,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,apple,foundationdb
33,Relational DBMS,Apache Kylin,Y,,apache/kylin,1.30,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,kylin
34,Relational DBMS,Cubrid,Y,,CUBRID/cubrid,1.24,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CUBRID,cubrid
35,"Key-value, Multi-model",Redis,Y,,redis/redis,171.94,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,redis,redis
36,"Key-value, Document,Multi-model ",Amazon DynamoDB ,N,,-,76.93,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-
37,"Key-value, Document,Graph,Wide column,Multi-model ",Microsoft Azure Cosmos DB ,N,,-,38.52,26,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,-,-
38,Key-value,Memcached,Y,,memcached/memcached,25.66,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,memcached,memcached
39,Key-value,etcd,Y,,etcd-io/etcd,10.32,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,etcd-io,etcd
40,"Key-value, Multi-model ",Hazelcast ,Y,,hazelcast/hazelcast,9.81,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hazelcast,hazelcast
41,Key-value,Ehcache,Y,,ehcache/ehcache3,7.00,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ehcache,ehcache3
42,Key-value,Riak KV,Y,,basho/riak_kv,5.59,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,basho,riak_kv
43,"Key-value, Multi-model ",Aerospike ,Y,,aerospike/aerospike-server,5.33,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,aerospike,aerospike-server
44,"Relational DBMS, Key-value, Multi-model ",Ignite,Y,,apache/ignite,4.85,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,ignite
45,Key-value,RocksDB,Y,,facebook/rocksdb,3.73,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,facebook,rocksdb
46,Key-value,LevelDB,Y,,google/leveldb,2.97,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,google,leveldb
47,Key-value,Infinispan,Y,,infinispan/infinispan,2.80,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,infinispan,infinispan
48,Key-value,LMDB,Y,,LMDB/lmdb,2.59,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LMDB,lmdb
49,Key-value,Geode,Y,,apache/geode,1.63,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apache,geode
50,"Key-value, Multi-model",Tarantool,Y,,tarantool/tarantool,1.55,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tarantool,tarantool
51,Key-value,ZODB,Y,,zopefoundation/ZODB,1.01,174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zopefoundation,ZODB
52,"Key-value, Multi-model ",NCache,Y,,Alachisoft/NCache,0.98,178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alachisoft,NCache
