DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Aug-2024,Rank_Aug-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1258.48,1,-,-,Oracle,1980,2023,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1.0,0.0
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1026.86,2,mysql,mysql-server,Oracle,1995,2024,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,815.18,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,637.39,4,postgres,postgres,PostgreSQL Global Development Group,1989,2024,Y,BSD,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0,1.0
MongoDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,420.98,5,mongodb,mongo,"MongoDB, Inc",2009,2024,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,152.71,6,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2024,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,135.97,7,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Elasticsearch,Search engine,"Search engine,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,129.83,8,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,1.0
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,123.0,9,-,-,IBM,1983,2016,N,free version is available,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0,0.0
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,104.79,10,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Apache+Cassandra,,,,97.0,11,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,96.37,12,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Splunk,Search engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,96.1,13,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,86.53,14,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Databricks,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Databricks,N,N,-,84.46,15,-,-,Databricks,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,75.03,16,-,-,Microsoft,2010,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,68.91,17,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,55.53,18,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Hive,,,,55.24,19,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,46.67,20,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,43.9,21,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,42.36,22,-,-,SAP,2010,2023,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,42.25,23,-,-,Teradata,1984,2019,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
Apache Solr,Search engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Apache+Solr,,,,36.3,24,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,33.28,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache HBase,Wide column,Wide column store,https://db-engines.com/en/system/Apache+HBase,,,,27.51,26,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,26.22,27,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,22.63,28,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
PostGIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,20.06,29,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,19.97,30,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,19.38,31,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,16.99,32,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Apache Spark (SQL),Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,16.73,33,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,16.72,34,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
OpenSearch,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,16.47,35,opensearch-project,OpenSearch,Amazon Web Services,2021,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
Couchbase,Document,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,16.2,36,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2023,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1.0,0.0
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,15.17,37,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ClickHouse,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,15.14,38,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,14.14,39,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Apache Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Apache+Impala,,,,11.59,40,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,9.63,41,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,9.37,42,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,9.21,43,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,8.09,44,greenplum-db,gpdb,Pivotal Software Inc.,2005,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.97,45,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,7.82,46,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,7.8,47,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,7.76,48,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Amazon Aurora,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Amazon+Aurora,N,,-,7.52,49,-,-,Amazon,2015,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Presto,Relational,Relational DBMS,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,7.51,50,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,7.28,51,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,7.17,52,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.09,53,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,6.51,54,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sphinx,Search engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.97,55,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,5.94,56,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
