DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_May-2025,Rank_May-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1226.57,1,-,-,Oracle,1980,2023,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1.0,0.0
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,964.98,2,mysql,mysql-server,Oracle,1995,2024,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,774.89,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,674.32,4,postgres,postgres,PostgreSQL Global Development Group,1989,2024,Y,BSD,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0,1.0
MongoDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,402.51,5,mongodb,mongo,"MongoDB, Inc",2009,2024,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,172.01,6,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,152.19,7,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2024,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,126.4,8,-,-,IBM,1983,2016,N,free version is available,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0,0.0
Elasticsearch,Search engine,"Search engine,Vector DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,123.81,9,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,1.0
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,117.77,10,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Apache+Cassandra,,,,108.05,11,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
